timestamp,0,1,2,3,4,5,6,7,8,9
0,0,0,0,0,511,506,0,1018,38,0
1,0,0,0,0,508,507,0,1018,38,0
2,0,0,0,0,511,506,0,1018,38,0
3,0,0,0,0,510,505,0,1018,38,0
4,0,0,0,0,509,505,0,1018,38,0
5,0,0,0,0,511,504,0,1018,38,0
6,0,0,0,0,508,505,0,1018,38,1
7,0,0,0,0,509,505,0,1018,39,1
8,0,0,0,0,508,505,0,1018,38,0
9,0,0,0,0,512,508,0,1018,38,0
10,0,0,0,0,509,508,0,1018,38,0
11,0,0,0,0,510,509,0,1018,38,0
12,0,0,0,0,511,510,0,1018,38,0
13,0,0,0,0,510,509,0,1018,38,0
14,0,0,0,0,507,510,0,1018,38,1
15,0,0,0,0,508,509,0,1018,39,0
0,0,0,0,0,509,509,0,1018,38,0
1,0,0,0,0,510,509,0,1018,38,0
2,0,0,0,0,510,507,0,1018,38,0
3,0,0,0,0,512,507,0,1018,38,0
4,0,0,0,0,509,508,0,1018,38,0
5,0,0,0,0,508,508,0,1018,38,0
6,0,0,0,0,511,505,0,1018,38,1
7,0,0,0,0,507,504,0,1018,39,1
8,0,0,0,0,509,507,0,1018,38,0
9,0,0,0,0,507,508,0,1018,38,0
10,0,0,0,0,508,508,0,1018,38,0
11,0,0,0,0,510,510,0,1018,38,0
12,0,0,0,0,509,510,0,1018,38,0
13,0,0,0,0,509,511,0,1018,38,0
14,0,0,0,0,509,512,0,1018,38,1
15,0,0,0,0,508,512,0,1018,39,0
0,0,0,0,0,510,512,0,1018,38,0
1,0,0,0,0,510,511,0,1018,38,0
2,0,0,0,0,509,510,0,1018,38,0
3,0,0,0,0,509,511,0,1018,38,0
4,0,0,0,0,507,511,0,1018,38,0
5,0,0,0,0,509,509,0,1018,38,0
6,0,0,0,0,510,509,0,1018,38,0
7,0,0,0,0,510,510,0,1018,39,0
8,0,0,0,0,509,507,0,1018,38,0
9,0,0,0,0,508,509,0,1018,38,0
10,0,0,0,0,509,508,0,1018,38,0
11,0,0,0,0,508,508,0,1018,38,0
12,0,0,0,0,511,508,0,1018,38,0
13,0,0,0,0,508,508,0,1018,38,0
14,0,0,0,0,509,506,0,1018,38,0
15,0,0,0,0,511,504,0,1018,39,0
0,0,0,0,0,509,504,0,1018,38,0
1,0,0,0,0,509,504,0,1018,38,0
2,0,0,0,0,508,504,0,1018,38,0
3,0,0,0,0,508,505,0,1018,38,0
4,0,0,0,0,509,504,0,1018,38,0
5,0,0,0,0,508,504,0,1018,38,0
6,0,0,0,0,507,506,0,1018,38,0
7,0,0,0,0,511,505,0,1018,39,0
8,0,0,0,0,510,503,0,1018,38,0
9,0,0,0,0,510,504,0,1018,38,0
10,0,0,0,0,508,505,0,1018,38,0
11,0,0,0,0,509,507,0,1018,38,0
12,0,0,0,0,510,507,0,1018,38,0
13,0,0,0,0,509,508,0,1018,38,0
14,0,0,0,0,511,511,0,1018,38,0
15,0,0,0,0,509,511,0,1018,39,0
0,0,0,0,0,511,512,0,1018,38,0
1,0,0,0,0,505,510,0,1018,38,0
2,0,0,0,0,509,510,0,1018,38,0
3,0,0,0,0,510,508,0,1018,38,0
4,0,0,0,0,509,507,0,1018,38,0
5,0,0,0,0,508,507,0,1018,38,0
6,0,0,0,0,511,507,0,1018,38,0
7,0,0,0,0,508,508,0,1018,39,0
8,0,0,0,0,508,508,0,1018,38,0
9,0,0,0,0,509,509,0,1018,38,0
10,0,0,0,0,512,508,0,1018,38,0
11,0,0,0,0,510,508,0,1018,38,0
12,0,0,0,0,511,508,0,1018,38,0
13,0,0,0,0,510,509,0,728,38,0
14,0,0,0,0,505,508,0,365,38,0
15,0,0,0,0,507,508,0,105,39,0
0,0,0,0,0,507,507,0,48,38,0
1,0,0,0,0,511,506,0,0,38,1
2,0,0,0,0,509,505,0,0,38,0
3,0,0,0,0,511,506,0,0,38,0
4,0,0,0,0,508,507,0,0,38,0
5,0,0,0,0,508,507,0,166,38,0
6,0,0,0,0,508,508,0,255,38,0
7,0,0,0,0,510,510,0,208,39,0
8,0,0,0,0,508,510,0,209,38,0
9,0,0,0,0,507,511,0,33,38,1
10,0,0,0,0,509,511,0,0,38,0
11,0,0,0,0,510,508,0,0,38,0
12,0,0,0,0,511,510,0,0,38,0
13,0,0,0,0,507,509,0,0,38,0
14,0,0,0,0,510,508,0,0,38,0
15,0,0,0,0,509,508,0,0,39,0
0,0,0,0,0,509,508,0,0,38,0
1,0,0,0,0,510,508,0,0,38,1
2,0,0,0,0,509,508,0,0,38,0
3,0,0,0,0,509,508,0,0,38,1
4,0,0,0,0,508,508,0,0,38,0
5,0,0,0,0,510,509,0,0,38,0
6,0,0,0,0,508,510,0,0,38,0
7,0,0,0,0,508,508,0,0,39,0
8,0,0,0,0,509,508,0,0,38,0
9,0,0,0,0,510,507,0,0,38,0
10,0,0,0,0,508,506,0,0,38,0
11,0,0,0,0,507,507,0,0,38,1
12,0,0,0,0,510,510,0,0,38,0
13,0,0,0,0,511,508,0,0,38,0
14,0,0,0,0,512,506,0,0,38,0
15,0,0,0,0,509,506,0,0,39,0
0,0,0,0,0,510,508,0,0,38,0
1,0,0,0,0,509,508,0,0,38,0
2,0,0,0,0,509,509,0,0,38,0
3,0,0,0,0,511,506,0,0,38,1
4,0,0,0,0,510,504,0,0,38,0
5,0,0,0,0,511,505,0,0,38,0
6,0,0,0,0,508,506,0,0,38,0
7,0,0,0,0,508,507,0,0,39,0
8,0,0,0,0,510,507,0,0,38,0
9,0,0,0,0,510,508,0,0,38,0
10,0,0,0,0,510,508,0,0,38,0
11,0,0,0,0,510,507,0,0,38,1
12,0,0,0,0,509,509,0,0,38,1
13,0,0,0,0,508,509,0,0,38,0
14,0,0,0,0,508,507,0,0,38,0
15,0,0,0,0,510,508,0,0,39,0
0,0,0,0,0,508,509,0,0,38,0
1,0,0,0,0,509,510,0,0,38,0
2,0,0,0,0,510,510,0,0,38,0
3,0,0,0,0,507,511,0,0,38,1
4,0,0,0,0,509,510,0,0,38,1
5,0,0,0,0,507,509,0,0,38,0
6,0,0,0,0,509,510,0,0,38,0
7,0,0,0,0,509,509,0,0,39,0
8,0,0,0,0,508,508,0,0,38,0
9,0,0,0,0,508,509,0,0,38,0
10,0,0,0,0,508,508,0,0,38,0
11,0,0,0,0,510,507,0,0,38,1
12,0,0,0,0,509,506,0,0,38,1
13,0,0,0,0,508,506,0,0,38,1
14,0,0,0,0,510,507,0,0,38,0
15,0,0,0,0,507,507,0,0,39,0
0,0,0,0,0,507,508,0,0,38,0
1,0,0,0,0,509,510,0,0,38,0
2,0,0,0,0,510,508,0,0,38,0
3,0,0,0,0,510,509,0,0,38,1
4,0,0,0,0,508,507,0,0,38,1
5,0,0,0,0,509,507,0,0,38,1
6,0,0,0,0,508,507,0,0,38,1
7,0,0,0,0,508,508,0,0,39,0
8,0,0,0,0,509,508,0,0,38,0
9,0,0,0,0,511,508,0,0,38,0
10,0,0,0,0,508,508,0,0,38,0
11,0,0,0,0,509,508,0,0,38,1
12,0,0,0,0,510,509,0,0,38,1
13,0,0,0,0,509,508,0,0,38,1
14,0,0,0,0,508,506,0,0,38,1
15,0,0,0,0,508,507,0,0,39,0
0,0,0,0,0,508,508,0,0,38,0
1,0,0,0,0,510,507,0,0,38,0
2,0,0,0,0,511,509,0,0,38,0
3,0,0,0,0,508,507,0,0,38,0
4,0,0,0,0,508,507,0,0,38,1
5,0,0,0,0,508,508,0,0,38,1
6,0,0,0,0,508,508,0,0,38,1
7,0,0,0,0,511,508,0,0,39,0
8,0,0,0,0,507,507,0,0,38,0
9,0,0,0,0,508,508,0,0,38,0
10,0,0,0,0,510,508,0,0,38,0
11,0,0,0,0,511,507,0,0,38,0
12,0,0,0,0,511,508,0,0,38,0
13,0,0,0,0,509,509,0,0,38,1
14,0,0,0,0,511,509,0,0,38,1
15,0,0,0,0,509,508,0,0,39,0
0,0,0,0,0,509,508,0,0,38,0
1,0,0,0,0,510,507,0,0,38,0
2,0,0,0,0,508,508,0,0,38,0
3,0,0,0,0,508,509,0,0,38,0
4,0,0,0,0,507,508,0,0,38,1
5,0,0,0,0,508,507,0,0,38,1
6,0,0,0,0,509,506,0,0,38,1
7,0,0,0,0,508,507,0,0,39,0
8,0,0,0,0,510,507,0,0,38,0
9,0,0,0,0,506,505,0,0,38,0
10,0,0,0,0,509,506,0,0,38,0
11,0,0,0,0,510,507,0,0,38,0
12,0,0,0,0,510,508,0,0,38,0
13,0,0,0,0,508,507,0,0,38,1
14,0,0,0,0,509,507,0,0,38,1
